cep,uf,cidade,latitude,longitude
69053120,AM,Manaus,-3.0934967,-60.0240974
69079000,AM,Manaus,-3.1201373,-60.0032588
69010305,AM,Manaus,-3.1320645,-60.0278661
69010200,AM,Manaus,-3.1329428,-60.0264107
69010090,AM,Manaus,-3.1316609,-60.0265594
69057077,AM,Manaus,-3.0890176,-60.0172734
69010140,AM,Manaus,-3.1211433,-60.0251638
69057080,AM,Manaus,-2.9977785,-60.0177213
69025140,AM,Manaus,-3.1180204,-60.0226559
69053530,AM,Manaus,-3.1051064,-60.0236716
69020220,AM,Manaus,-3.1323008,-60.0183634
69010080,AM,Manaus,-3.1315635,-60.021966
69020080,AM,Manaus,-3.1283232,-60.009853
69099068,AM,Manaus,-3.0452708,-59.9448912
69020140,AM,Manaus,-3.1264082,-60.0117977
69020282,AM,Manaus,-3.123255,-60.0149366
69042360,AM,Manaus,-3.0700577,-60.0556873
69038015,AM,Manaus,-3.0854046,-60.0730793
69097484,AM,Manaus,-3.0027734,-59.9821647
69075020,AM,Manaus,-3.1331437,-59.9828215
69082230,AM,Manaus,-3.09585,-59.9062674
69050380,AM,Manaus,-3.0890947,-60.0226052
69095010,AM,Manaus,-3.0295867,-59.9821066
69054040,AM,Manaus,-3.0614638,-60.0009621
69055747,AM,Manaus,-3.0832679,-60.0157438
69053165,AM,Manaus,-3.0890176,-60.0172734
69020560,AM,Manaus,-3.1196579,-60.0207645
69097305,AM,Manaus,-3.0048128,-59.9769305
69005160,AM,Manaus,-3.1324622,-60.024117
69054672,AM,Manaus,-3.0702293,-59.9938003
69073282,AM,Manaus,-3.0941855,-59.9872478
69057050,AM,Manaus,-3.0895998,-60.0091061
69050085,AM,Manaus,-3.0857854,-60.0336599
69065000,AM,Manaus,-3.1279462,-60.0063246
69070250,AM,Manaus,-3.1396095,-60.0082187
69060808,AM,Manaus,-3.0873646,-59.9987405
69044680,AM,Manaus,-3.0582342,-60.0590417
69058830,AM,Manaus,-3.0061684,-60.032758
69010230,AM,Manaus,-3.1321853,-60.0222525
69057084,AM,Manaus,-3.0930134,-60.0055188
69055035,AM,Manaus,-3.0934655,-60.0320167
69082701,AM,Manaus,-3.0856895,-59.9730131
69088245,AM,Manaus,-3.0607187,-59.9496382
69008080,AM,Manaus,-3.1067869,-60.0529068
69075200,AM,Manaus,-3.1052028,-59.973668
69055713,AM,Manaus,-3.0913944,-60.0100603
69010040,AM,Manaus,-3.1331032,-60.0253931
69025000,AM,Manaus,-3.1189106,-60.023688
69010125,AM,Manaus,-3.1166169,-60.013092
69029000,AM,Manaus,-3.1160994,-60.0385251
69010170,AM,Manaus,-3.126926,-60.0094281
69053110,AM,Manaus,-3.0098213,-60.0091105
69010220,AM,Manaus,-3.0736167,-59.9456273
69093132,AM,Manaus,-2.9998872,-59.9915662
69025020,AM,Manaus,-3.12187,-60.023855
69020210,AM,Manaus,-3.1152578,-60.0310845
69097000,AM,Manaus,-3.0271161,-59.9599633
69010000,AM,Manaus,-3.1324622,-60.024117
69020130,AM,Manaus,-3.1166169,-60.013092
69070000,AM,Manaus,-3.1404233,-60.0145917
69005141,AM,Manaus,-3.1347364,-60.0083489
69053730,AM,Manaus,-3.104977,-60.0167431
69058448,AM,Manaus,-3.05467,-60.011995
69043130,AM,Manaus,-3.0781375,-60.0406019
69057090,AM,Manaus,-3.109308,-60.0117233
69010902,AM,Manaus,-3.1324622,-60.024117
69099899,AM,Manaus,-3.0452708,-59.9448912
69065001,AM,Manaus,-3.1279462,-60.0063246
69067290,AM,Manaus,-3.1031,-59.9898852
69060062,AM,Manaus,-3.0926388,-59.9920098
69077220,AM,Manaus,-3.1151899,-59.9844116
69055038,AM,Manaus,-3.0934967,-60.0240974
69010050,AM,Manaus,-3.0801099,-59.8801581
69057030,AM,Manaus,-3.10726,-60.0513145
69033090,AM,Manaus,-3.0967785,-60.0495059
69097220,AM,Manaus,-3.0205445,-59.9611219
69010010,AM,Manaus,-3.1341209,-60.0253481
69015330,AM,Manaus,-3.0090532,-60.0280232
69058450,AM,Manaus,-3.065437,-60.0122923
69044802,AM,Manaus,-3.0704086,-60.0694349
69065010,AM,Manaus,-3.1265239,-60.0077204
69010120,AM,Manaus,-3.1283232,-60.009853
69046000,AM,Manaus,-3.0653903,-60.0354312
69055972,AM,Manaus,-3.0291668,-59.9397053
69053050,AM,Manaus,-3.0106709,-60.0122384
69057067,AM,Manaus,-3.0894913,-60.0038286
69063125,AM,Manaus,-3.1068728,-60.0018829
69057810,AM,Manaus,-3.0925975,-60.0256017
69098000,AM,Manaus,-3.0457915,-59.9697203
69099031,AM,Manaus,-3.0294622,-59.9625329
69090070,AM,Manaus,-3.0343277,-59.9898525
69095740,AM,Manaus,-3.0189928,-59.9831797
69085972,AM,Manaus,-3.0607187,-59.9496382
69041330,AM,Manaus,-3.0077447,-60.0461289
69058250,AM,Manaus,-3.062263,-59.9999746
69055742,AM,Manaus,-3.0291668,-59.9397053
69057065,AM,Manaus,-3.0911604,-59.9992502
69072055,AM,Manaus,-3.147864,-59.9895895
69094600,AM,Manaus,-3.033498,-59.965225
69075150,AM,Manaus,-2.9795679,-60.009744
69060000,AM,Manaus,-3.1050842,-60.0058967
69041000,AM,Manaus,-3.0364502,-60.0247194
69018600,AM,Manaus,-2.9660398,-59.9919216
69057078,AM,Manaus,-3.0911093,-60.0035415
69054691,AM,Manaus,-3.073759,-60.0050098
69058045,AM,Manaus,-3.0614638,-60.0009621
69065020,AM,Manaus,-3.1176148,-59.9835439
69054723,AM,Manaus,-3.0700261,-60.0050464
69045260,AM,Manaus,-3.0713063,-60.0485831
69045005,AM,Manaus,-3.0653903,-60.0354312
69040710,AM,Manaus,-3.0579839,-59.99025
69022494,AM,Manaus,-2.9840115,-60.0651207
69053580,AM,Manaus,-3.1073425,-60.017861
69038010,AM,Manaus,-3.0711603,-60.0601212
69057070,AM,Manaus,-3.1123158,-60.0133524
69019600,AM,Manaus,-2.9474928,-60.0289156
69059140,AM,Manaus,-2.9858433,-60.0055008
69027320,AM,Manaus,-3.1222705,-60.0342797
69005010,AM,Manaus,-3.1409748,-60.0218253
69057450,AM,Manaus,-3.0890176,-60.0172734
69020440,AM,Manaus,-3.1225283,-60.0107741
69090010,AM,Manaus,-3.0415466,-59.9826635
69010160,AM,Manaus,-3.1251325,-60.0267682
69047481,AM,Manaus,-3.0518133,-60.0454538
69033000,AM,Manaus,-3.0967785,-60.0495059
69025030,AM,Manaus,-3.12459,-60.0247912
69055090,AM,Manaus,-3.0877522,-60.0125356
69025290,AM,Manaus,-3.1169948,-60.0298054
69020490,AM,Manaus,-3.123255,-60.0149366
69050520,AM,Manaus,-3.0888751,-60.0227298
69065090,AM,Manaus,-3.1261766,-60.0022408
69050020,AM,Manaus,-3.0934655,-60.0320167
69010020,AM,Manaus,-3.1323726,-60.0250505
69057035,AM,Manaus,-3.1152578,-60.0310845
69010250,AM,Manaus,-3.13075,-60.0214923
69042210,AM,Manaus,-3.0048193,-60.0058067
69090040,AM,Manaus,-3.0320752,-59.9851157
69050900,AM,Manaus,-3.0934967,-60.0240974
69075000,AM,Manaus,-3.0073845,-60.0188145
69063330,AM,Manaus,-3.1202769,-59.9958041
69028314,AM,Manaus,-3.0543025,-60.0130637
69035000,,,,
69055170,AM,Manaus,-3.0291668,-59.9397053
69057021,AM,Manaus,-3.114829,-60.0106346
69055011,AM,Manaus,-3.0842937,-60.0148354
69048000,AM,Manaus,-3.0626104,-60.0291096
69029060,AM,Manaus,-3.116009,-60.0418549
69055460,AM,Manaus,-3.0795555,-60.0106851
69020000,AM,Manaus,-3.123255,-60.0149366
69090470,AM,Manaus,-3.0375195,-59.9947435
69005290,AM,Manaus,-3.1355961,-60.0239802
69042000,AM,Manaus,-3.0808326,-60.0576662
69094170,AM,Manaus,-3.0415466,-59.9826635
69086531,AM,Manaus,-3.0547387,-59.9657856
69045100,AM,Manaus,-3.069141,-60.0480892
69090100,AM,Manaus,-3.059715,-59.9331964
69050060,AM,Manaus,-3.1251325,-60.0267682
69020255,AM,Manaus,-3.1210234,-60.0142134
69088754,AM,Manaus,-3.0351482,-59.9333413
69093260,AM,Manaus,-3.0424407,-60.01018
69050570,AM,Manaus,-3.1251325,-60.0267682
69036160,AM,Manaus,-3.1001078,-60.0597017
69030000,AM,Manaus,-3.1007423,-60.0537522
69044000,AM,Manaus,-3.0700577,-60.0556873
